decimalLatitude,decimalLongitude,genus
7.103193,171.373662,Herpolitha
7.069415,171.346163,Fungia
7.102937,171.373631,Halomitra
7.143966,171.277344,Plerogyra
7.147368,171.283848,Pavona
7.094129,171.340074,Pavona
10.321721,169.885825,Turbinaria
8.839583,167.724655,Acropora
8.610173,167.736989,Acropora
7.157102,171.203081,Acanthastrea
7.103619,171.382242,Acanthastrea
7.176081,171.127435,Acanthastrea
7.202968,171.072371,Acanthastrea
7.192263,171.093619,Acanthastrea
7.094124,171.13223,Acanthastrea
7.210496,171.056222,Acanthastrea
7.089031,171.129485,Acanthastrea
7.158656,171.163087,Acanthastrea
7.176081,171.127435,Acropora
7.176081,171.127435,Coscinaraea
7.176081,171.127435,Cyphastrea
7.176081,171.127435,Ctenactis
7.202968,171.072371,Acropora
7.202968,171.072371,Astreopora
7.202968,171.072371,Coscinaraea
7.210496,171.056222,Acropora
7.210496,171.056222,Astreopora
7.210496,171.056222,Coscinaraea
7.192263,171.093619,Diploastrea
7.192263,171.093619,Cyphastrea
7.157102,171.203081,Caulastraea
7.158656,171.163087,Acropora
7.158656,171.163087,Ctenactis
7.089031,171.129485,Echinopora
7.103619,171.382242,Diploastrea
7.103619,171.382242,Cyphastrea
7.103619,171.382242,Acropora
7.103619,171.382242,Ctenactis
7.094124,171.13223,Acropora
7.094124,171.13223,Coscinaraea
7.094124,171.13223,Caulastraea
7.094124,171.13223,Alveopora
7.094124,171.13223,Diploastrea
7.176081,171.127435,Astreopora
7.202968,171.072371,Alveopora
7.202968,171.072371,Diploastrea
7.202968,171.072371,Cyphastrea
7.210496,171.056222,Alveopora
7.210496,171.056222,Diploastrea
7.192263,171.093619,Acropora
7.192263,171.093619,Caulastraea
7.192263,171.093619,Astreopora
7.192263,171.093619,Coscinaraea
7.157102,171.203081,Alveopora
7.157102,171.203081,Diploastrea
7.157102,171.203081,Acropora
7.157102,171.203081,Ctenactis
7.158656,171.163087,Caulastraea
7.089031,171.129485,Acropora
7.103619,171.382242,Coscinaraea
7.094124,171.13223,Echinopora
7.176081,171.127435,Alveopora
7.176081,171.127435,Diploastrea
7.202968,171.072371,Caulastraea
7.202968,171.072371,Ctenactis
7.210496,171.056222,Ctenactis
7.192263,171.093619,Echinopora
7.192263,171.093619,Alveopora
7.157102,171.203081,Astreopora
7.157102,171.203081,Coscinaraea
7.089031,171.129485,Coscinaraea
7.103619,171.382242,Echinopora
7.103619,171.382242,Alveopora
7.094124,171.13223,Ctenactis
7.176081,171.127435,Caulastraea
7.202968,171.072371,Echinopora
7.192263,171.093619,Ctenactis
7.176081,171.127435,Echinopora
7.157102,171.203081,Cyphastrea
7.089031,171.129485,Cyphastrea
7.210496,171.056222,Echinopora
7.157102,171.203081,Echinopora
7.089031,171.129485,Alveopora
7.089031,171.129485,Diploastrea
7.210496,171.056222,Caulastraea
